테마,종목명,거래량,현재가,YAHOO_TICKER,대표여부
로봇/산업,KODEX로봇액티브,405011.0,"23,100",445290.KS,O
메타버스,HANAROFnK-POP&미디어,176051.0,"8,160",395290.KS,O
메타버스,HANAROK-뷰티,81210.0,"14,310",479850.KS,X
메타버스,TIGERFn메타버스,61077.0,"8,005",400970.KS,X
메타버스,HANAROFnK-푸드,48163.0,"11,920",438900.KS,X
메타버스,KODEX메타버스액티브,30689.0,"7,935",401470.KS,X
메타버스,HANAROCAPEX설비투자iSelect,29886.0,"33,175",454320.KS,X
메타버스,HANAROe커머스,23779.0,"12,430",322400.KS,X
메타버스,RISE메타버스,14262.0,"7,540",401170.KS,X
메타버스,HANAROFnK-뉴딜디지털플러스,4059.0,"9,115",368190.KS,X
메타버스,HANAROFnK-메타버스MZ,2531.0,"8,510",402460.KS,X
메타버스,HANARO농업융복합산업,2067.0,"11,490",314700.KS,X
메타버스,HANAROFn골프테마,1798.0,"9,160",407300.KS,X
메타버스,HANARO주주가치성장코리아액티..,1474.0,"15,850",000nan.KS,X
메타버스,HANARO탄소효율그린뉴딜,1410.0,"13,795",375760.KS,X
메타버스,HANAROFn5G산업,728.0,"20,505",367740.KS,X
바이오,KoAct바이오헬스케어액티브,8209636.0,"21,980",462900.KS,O
바이오,TIMEFOLIOK바이오액티브,5734054.0,"18,160",463050.KS,X
바이오,TIGER바이오TOP10,3266595.0,"8,865",364970.KS,X
바이오,KODEX바이오,2840579.0,"11,750",244580.KS,X
바이오,HANARO바이오코리아액티브,240363.0,"15,300",498050.KS,X
바이오,RISE바이오TOP10액티브,165509.0,"15,425",0000Z0.KS,X
바이오,마이티바이오시밀러&CDMO액티브,25728.0,"11,075",0001P0.KS,X
바이오,KIWOOMFn유전자혁신기술,4345.0,"11,955",460280.KS,X
반도체,TIGER반도체TOP10,6630756.0,"19,155",091230.KS,O
반도체,HANAROFnK-반도체,3427464.0,"19,595",395270.KS,X
반도체,KODEX반도체레버리지,2411949.0,"28,765",091160.KS,X
반도체,KODEX반도체,1768767.0,"59,695",091160.KS,X
반도체,KODEXAI반도체,1758703.0,"17,330",395160.KS,X
반도체,TIGERAI반도체핵심공정,1708513.0,"11,700",471760.KS,X
반도체,SOLAI반도체소부장,969049.0,"17,480",455850.KS,X
반도체,KODEXAI반도체핵심장비,888321.0,"15,415",395160.KS,X
반도체,ACEAI반도체포커스,766483.0,"25,965",469150.KS,X
반도체,RISEAI반도체TOP10,443077.0,"16,740",0093A0.KS,X
반도체,RISE비메모리반도체액티브,379319.0,"16,820",388420.KS,X
반도체,TIGER반도체,288978.0,"62,620",091230.KS,X
반도체,SOL반도체전공정,286150.0,"12,175",475300.KS,X
반도체,WON반도체밸류체인액티브,134566.0,"19,150",474590.KS,X
반도체,SOL반도체후공정,118845.0,"17,915",475310.KS,X
반도체,HANARO반도체핵심공정주도주,39774.0,"9,200",476260.KS,X
반도체,KIWOOMK-반도체북미공급망,29603.0,"12,960",488210.KS,X
반도체,ITFK-AI반도체코어테크,11092.0,"19,985",0005G0.KS,X
반도체,DAISHIN343AI반도체&인프라액티..,1558.0,"14,935",000nan.KS,X
방산/우주항공,KODEXK방산TOP10,1267476.0,"9,755",0080G0.KS,O
방산/우주항공,KODEXK방산TOP10레버리지,831800.0,"8,190",0100K0.KS,X
방산/우주항공,PLUSK방산,793527.0,"53,100",449450.KS,X
방산/우주항공,TIGERK방산&우주,238963.0,"28,945",463250.KS,X
방산/우주항공,PLUSK방산레버리지,101682.0,"8,745",0104G0.KS,X
방산/우주항공,SOLK방산,72563.0,"25,700",490480.KS,X
방산/우주항공,PLUSK방산소부장,48446.0,"9,600",0090B0.KS,X
방산/우주항공,PLUS우주항공&UAM,11602.0,"22,425",421320.KS,X
배당,PLUS고배당주,2899050.0,"21,570",161510.KS,O
배당,TIGER코리아배당다우존스,1289025.0,"13,520",0052D0.KS,X
배당,KODEX고배당주,689737.0,"14,275",279530.KS,X
배당,SOL코리아고배당,600189.0,"11,040",0105E0.KS,X
배당,PLUS자사주매입고배당주,565352.0,"10,795",0098N0.KS,X
배당,PLUS고배당주위클리커버드콜,364309.0,"9,475",161510.KS,X
배당,TIGER배당커버드콜액티브,274532.0,"13,700",472150.KS,X
